Judging 70 attempts from ../work/e2c2/eval_20260919T190325Z.json with cli:claude-fable-5-1 (contract version 2; source 73cc31162c3dfe7ec497c8c88c43cf397afce4a7, generator deepseek-flash, run local)
  baseline ASML 6-K run 1: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16576, 'excerpt_chars': 12957, 'xbrl_chars': 0}
  baseline ASML 6-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16986, 'excerpt_chars': 12957, 'xbrl_chars': 0}
  baseline SE 6-K run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18136, 'excerpt_chars': 57809, 'xbrl_chars': 0}
  baseline SE 6-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 21474, 'excerpt_chars': 57809, 'xbrl_chars': 0}
  baseline PDD 6-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 18986, 'excerpt_chars': 40750, 'xbrl_chars': 0}
  baseline PDD 6-K run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16390, 'excerpt_chars': 40750, 'xbrl_chars': 0}
  baseline PLD 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16471, 'excerpt_chars': 231325, 'xbrl_chars': 13101}
  baseline PLD 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18346, 'excerpt_chars': 231325, 'xbrl_chars': 13101}
  baseline NEE 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 17153, 'excerpt_chars': 96406, 'xbrl_chars': 13269}
  baseline NEE 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 15986, 'excerpt_chars': 96406, 'xbrl_chars': 13269}
  baseline PGR 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 2, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 12978, 'excerpt_chars': 175835, 'xbrl_chars': 13501}
  baseline PGR 10-K run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 13005, 'excerpt_chars': 175835, 'xbrl_chars': 13501}
  baseline FIGS 10-Q run 0: FAIL dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22111, 'excerpt_chars': 112432, 'xbrl_chars': 14355}
  baseline FIGS 10-Q run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 23118, 'excerpt_chars': 112432, 'xbrl_chars': 14355}
  baseline GPRO 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 23283, 'excerpt_chars': 170233, 'xbrl_chars': 18632}
  baseline GPRO 10-K run 1: FAIL dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22309, 'excerpt_chars': 170233, 'xbrl_chars': 18632}
  baseline AAPL 10-K run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22574, 'excerpt_chars': 124125, 'xbrl_chars': 20647}
  baseline AAPL 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25831, 'excerpt_chars': 124125, 'xbrl_chars': 20647}
  baseline MSFT 10-K run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 22089, 'excerpt_chars': 164767, 'xbrl_chars': 20307}
  baseline MSFT 10-K run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 19386, 'excerpt_chars': 164767, 'xbrl_chars': 20307}
  baseline NVDA 10-Q run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 24373, 'excerpt_chars': 102206, 'xbrl_chars': 22500}
  baseline NVDA 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22930, 'excerpt_chars': 102206, 'xbrl_chars': 22500}
  baseline JPM 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18101, 'excerpt_chars': 170233, 'xbrl_chars': 14309}
  baseline JPM 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 23906, 'excerpt_chars': 170233, 'xbrl_chars': 14309}
  baseline KO 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 27515, 'excerpt_chars': 95851, 'xbrl_chars': 20212}
  baseline KO 10-Q run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 26443, 'excerpt_chars': 95851, 'xbrl_chars': 20212}
  baseline TSLA 10-K run 0: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25919, 'excerpt_chars': 170233, 'xbrl_chars': 17417}
  baseline TSLA 10-K run 1: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 31248, 'excerpt_chars': 170233, 'xbrl_chars': 17417}
  baseline AMZN 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 24985, 'excerpt_chars': 161529, 'xbrl_chars': 17363}
  baseline AMZN 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 4, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 29903, 'excerpt_chars': 161529, 'xbrl_chars': 17363}
  baseline BRK.B 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 24826, 'excerpt_chars': 147121, 'xbrl_chars': 11145}
  baseline BRK.B 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 23089, 'excerpt_chars': 147121, 'xbrl_chars': 11145}
  baseline XOM 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18128, 'excerpt_chars': 160904, 'xbrl_chars': 15261}
  baseline XOM 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 20324, 'excerpt_chars': 160904, 'xbrl_chars': 15261}
  baseline PFE 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 31880, 'excerpt_chars': 181166, 'xbrl_chars': 17423}
  baseline PFE 10-Q run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 24617, 'excerpt_chars': 181166, 'xbrl_chars': 17423}
  baseline F 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 24435, 'excerpt_chars': 98293, 'xbrl_chars': 18604}
  baseline F 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 23799, 'excerpt_chars': 98293, 'xbrl_chars': 18604}
  baseline WMT 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 3} lengths={'summary_chars': 26273, 'excerpt_chars': 170233, 'xbrl_chars': 18011}
