Judging 70 attempts from ../work/e2/eval_20260919T184629Z.json with cli:claude-fable-5-1 (contract version 2; source e1b52bafb18c4d1cb69f489ccbdfd8ebd7407deb, generator deepseek-flash, run local)
  baseline ASML 6-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16219, 'excerpt_chars': 12957, 'xbrl_chars': 0}
  baseline ASML 6-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16588, 'excerpt_chars': 12957, 'xbrl_chars': 0}
  baseline SE 6-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 17656, 'excerpt_chars': 57809, 'xbrl_chars': 0}
  baseline SE 6-K run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 22363, 'excerpt_chars': 57809, 'xbrl_chars': 0}
  baseline PDD 6-K run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22646, 'excerpt_chars': 40750, 'xbrl_chars': 0}
  baseline PDD 6-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 19828, 'excerpt_chars': 40750, 'xbrl_chars': 0}
  baseline PLD 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 15991, 'excerpt_chars': 231325, 'xbrl_chars': 13101}
  baseline PLD 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16735, 'excerpt_chars': 231325, 'xbrl_chars': 13101}
  baseline NEE 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 2, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16740, 'excerpt_chars': 96406, 'xbrl_chars': 13269}
  baseline NEE 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 15586, 'excerpt_chars': 96406, 'xbrl_chars': 13269}
  baseline PGR 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 2, 'clarity': 4, 'specificity': 3} lengths={'summary_chars': 15725, 'excerpt_chars': 175835, 'xbrl_chars': 13501}
  baseline PGR 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 15487, 'excerpt_chars': 175835, 'xbrl_chars': 13501}
  baseline FIGS 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21636, 'excerpt_chars': 112432, 'xbrl_chars': 14355}
  baseline FIGS 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16366, 'excerpt_chars': 112432, 'xbrl_chars': 14355}
  baseline GPRO 10-K run 0: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 22036, 'excerpt_chars': 170233, 'xbrl_chars': 18632}
  baseline GPRO 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22297, 'excerpt_chars': 170233, 'xbrl_chars': 18632}
  baseline AAPL 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 27157, 'excerpt_chars': 124125, 'xbrl_chars': 20647}
